7680	5312
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1380	1920
1376	6289
1373	6294
1369	6295
1365	6298
1362	6303
1358	6307
1354	6312
1350	6317
1347	6321
1343	6326
1339	6331
1336	6336
1332	6340
1328	6345
1325	6350
1321	6354
1317	6359
1314	6364
1310	6368
1306	6373
1302	6378
1299	6382
1295	6387
1291	6391
1288	6395
1284	6398
1280	6402
1277	6405
1273	6409
1269	6412
1266	6416
1262	6420
1258	6423
1255	6427
1252	6430
1249	6434
1246	6437
1242	6441
1239	6445
1236	6448
1233	6452
1230	6455
1227	6459
1223	6462
1220	6466
1217	6470
1214	6473
1211	6477
1208	6480
1204	6484
1201	6487
1198	6491
1195	6495
1192	6498
1189	6502
1185	6505
1182	6509
1179	6512
1176	6516
1173	6520
1170	6523
1166	6527
1163	6530
1160	6534
1157	6537
1154	6540
1151	6542
1147	6545
1144	6547
1141	6549
1138	6552
1135	6554
1131	6556
1129	6559
1126	6561
1123	6563
1121	6566
1118	6568
1116	6570
1113	6573
1110	6575
1108	6577
1105	6580
1103	6582
1100	6584
1098	6587
1095	6589
1092	6591
1090	6594
1087	6596
1085	6598
1082	6601
1079	6603
1077	6605
1074	6608
1072	6610
1069	6612
1066	6615
1064	6617
1061	6619
1059	6622
1056	6624
1053	6626
1051	6628
1048	6631
1046	6633
1043	6635
1041	6638
1038	6640
1035	6642
1033	6645
1030	6647
1028	6649
1025	6652
1022	6654
1020	6656
1017	6659
1015	6661
1012	6663
1009	6666
1007	6668
1005	6670
1003	6673
1001	6675
999	6677
997	6680
995	6682
993	6684
991	6687
990	6689
988	6691
986	6692
984	6694
982	6696
980	6697
978	6699
976	6701
974	6703
972	6704
971	6706
969	6708
967	6709
965	6711
963	6713
961	6715
959	6716
957	6718
955	6720
954	6721
952	6723
950	6725
948	6727
946	6728
944	6730
942	6732
940	6733
938	6735
936	6737
935	6739
933	6740
931	6742
929	6744
927	6745
925	6747
923	6749
921	6751
919	6752
917	6754
